,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
8625,3.0,108,33.0,101.0,overcast,994.67,3,Winter,4.0,mountain,Snowy
11607,-4.0,108,21.0,83.0,overcast,986.62,0,Winter,1.5,inland,Snowy
8600,51.0,108,16.0,70.0,overcast,1005.05,5,Winter,1.5,coastal,Rainy
6383,41.0,108,16.5,72.0,overcast,998.91,9,Spring,2.0,inland,Rainy
10253,73.0,108,16.5,102.0,partly cloudy,1002.52,4,Winter,2.5,inland,Cloudy
8568,0.0,108,36.5,108.0,partly cloudy,989.62,4,Winter,0.5,inland,Snowy
8513,26.0,108,16.5,72.0,partly cloudy,1010.72,8,Summer,2.5,mountain,Rainy
12470,15.0,108,24.0,104.0,partly cloudy,1002.99,12,Autumn,3.0,mountain,Cloudy
10340,53.0,108,20.0,96.0,clear,1012.64,2,Autumn,1.5,inland,Sunny
10798,-14.0,108,29.0,74.0,overcast,991.25,1,Winter,1.0,inland,Snowy
3554,21.0,108,34.0,82.0,overcast,1001.29,6,Winter,5.0,coastal,Cloudy
247,28.0,108,7.5,83.0,partly cloudy,1018.84,1,Summer,4.0,inland,Sunny
10891,20.0,108,20.0,92.0,partly cloudy,998.37,1,Summer,5.5,coastal,Rainy
6155,73.0,108,12.0,80.0,partly cloudy,1013.13,10,Autumn,7.0,coastal,Sunny
3349,-4.0,108,0.5,92.0,overcast,985.17,5,Winter,2.0,inland,Snowy
7363,-13.0,108,6.0,81.0,partly cloudy,993.64,12,Winter,1.5,inland,Snowy
3355,30.0,108,9.5,101.0,partly cloudy,1005.81,8,Winter,5.5,inland,Cloudy
10854,-8.0,108,7.5,105.0,partly cloudy,989.19,0,Winter,0.5,mountain,Snowy
3333,10.0,108,6.5,82.0,overcast,981.24,10,Winter,1.0,inland,Snowy
3378,30.0,108,9.0,72.0,clear,1012.44,12,Summer,4.5,mountain,Sunny
8226,29.0,108,26.0,94.0,partly cloudy,1013.48,11,Winter,4.5,inland,Cloudy
1024,53.0,108,7.5,73.0,clear,1023.18,13,Winter,6.5,mountain,Sunny
11740,2.0,108,16.5,80.0,overcast,998.62,10,Winter,1.5,mountain,Snowy
11851,44.0,108,24.0,77.0,overcast,1013.57,2,Winter,1.0,mountain,Rainy
4459,2.0,108,33.0,76.0,overcast,993.53,9,Winter,6.0,inland,Snowy
395,9.0,108,27.5,103.0,partly cloudy,1019.52,10,Spring,3.0,coastal,Cloudy
9670,9.0,108,8.5,107.0,partly cloudy,1013.44,9,Summer,2.0,coastal,Cloudy
530,21.0,108,18.0,96.0,overcast,992.8,9,Autumn,1.5,mountain,Rainy
5091,21.0,108,2.0,84.0,partly cloudy,1010.85,2,Summer,3.0,inland,Cloudy
11632,60.0,108,20.5,76.0,partly cloudy,1010.49,0,Autumn,6.5,inland,Sunny
9807,-3.0,108,2.5,71.0,partly cloudy,999.1,10,Winter,2.0,mountain,Snowy
4404,17.0,108,7.5,79.0,clear,1016.39,3,Summer,8.5,mountain,Sunny
5134,13.0,108,10.0,103.0,partly cloudy,1002.59,14,Winter,5.0,mountain,Cloudy
8441,18.0,108,15.5,108.0,partly cloudy,1006.5,5,Winter,7.0,inland,Cloudy
383,47.0,108,8.0,94.0,overcast,1003.87,3,Summer,10.5,mountain,Cloudy
8071,11.0,108,29.0,109.0,partly cloudy,1004.96,7,Autumn,5.5,coastal,Cloudy
5942,36.0,108,13.5,80.0,partly cloudy,1012.38,13,Summer,6.5,coastal,Sunny
12292,21.0,108,4.0,95.0,clear,1016.17,10,Summer,5.0,mountain,Sunny
2231,57.0,108,10.5,87.0,clear,1010.41,3,Summer,3.0,inland,Sunny
7979,99.0,108,13.0,105.0,clear,1016.03,13,Spring,4.5,coastal,Sunny
10590,19.0,108,3.5,82.0,partly cloudy,1015.55,9,Spring,8.5,coastal,Cloudy
11341,-4.0,108,23.5,97.0,overcast,995.67,12,Winter,2.0,inland,Snowy
10743,31.0,107,14.5,86.0,overcast,1012.48,8,Spring,6.5,coastal,Cloudy
12346,30.0,107,4.0,80.0,overcast,1001.86,10,Summer,6.5,mountain,Cloudy
8969,29.0,107,11.5,84.0,partly cloudy,1014.2,0,Spring,4.0,mountain,Sunny
8984,13.0,107,6.5,90.0,partly cloudy,1005.07,8,Summer,10.0,inland,Cloudy
5715,16.0,107,32.5,99.0,overcast,995.47,11,Autumn,4.0,inland,Rainy
10140,80.0,107,19.0,70.0,overcast,1018.33,1,Autumn,4.5,mountain,Rainy
10158,30.0,107,18.5,82.0,partly cloudy,992.16,11,Summer,0.5,inland,Rainy
4915,85.0,107,6.0,95.0,clear,1023.94,13,Spring,3.5,coastal,Sunny
1861,-11.0,107,15.5,96.0,overcast,990.58,12,Winter,1.5,inland,Snowy
1551,30.0,107,20.5,84.0,partly cloudy,1006.47,5,Autumn,10.0,inland,Cloudy
1361,66.0,107,13.0,109.0,partly cloudy,1014.55,6,Summer,7.0,mountain,Cloudy
9397,30.0,107,5.0,70.0,partly cloudy,1018.29,7,Summer,2.0,inland,Sunny
2427,28.0,107,10.0,90.0,clear,1027.99,10,Spring,3.5,inland,Sunny
10211,50.0,107,18.0,86.0,partly cloudy,1013.01,9,Winter,4.0,mountain,Sunny
7833,10.0,107,22.0,94.0,partly cloudy,1003.89,14,Autumn,3.0,coastal,Cloudy
11687,45.0,107,13.5,75.0,overcast,1019.47,1,Autumn,5.5,inland,Rainy
6896,71.0,107,19.0,85.0,clear,1021.56,3,Summer,5.5,mountain,Sunny
10953,4.0,107,1.0,102.0,overcast,982.87,3,Winter,2.5,inland,Snowy
4319,36.0,107,12.0,86.0,partly cloudy,1025.55,8,Spring,1.5,inland,Sunny
7430,4.0,107,29.5,88.0,overcast,983.76,12,Winter,6.5,mountain,Snowy
6690,39.0,107,25.0,71.0,overcast,996.59,11,Spring,5.5,coastal,Rainy
12608,-5.0,107,31.0,82.0,overcast,985.29,5,Winter,0.5,mountain,Snowy
12897,45.0,107,0.0,89.0,clear,1021.4,13,Summer,3.0,inland,Sunny
2751,59.0,107,19.0,92.0,overcast,1015.41,2,Autumn,1.5,inland,Rainy
239,29.0,107,0.5,93.0,partly cloudy,1002.18,8,Spring,10.0,coastal,Cloudy
4771,-1.0,107,14.5,86.0,overcast,989.7,13,Winter,2.0,mountain,Snowy
10646,63.0,107,13.0,95.0,partly cloudy,997.91,4,Spring,1.5,mountain,Rainy
6609,3.0,107,3.0,72.0,overcast,993.7,12,Winter,2.5,mountain,Snowy
9894,6.0,107,1.5,101.0,overcast,980.27,10,Winter,2.0,mountain,Snowy
8345,56.0,107,14.5,90.0,clear,1028.48,5,Summer,11.5,mountain,Sunny
6948,4.0,107,5.0,83.0,overcast,980.48,8,Winter,2.0,inland,Snowy
12855,65.0,107,12.5,75.0,partly cloudy,1011.56,4,Autumn,12.0,coastal,Sunny
11874,4.0,107,26.5,95.0,overcast,998.68,8,Winter,2.5,inland,Snowy
10663,-3.0,107,28.5,96.0,overcast,982.51,1,Winter,0.5,mountain,Snowy
9590,67.0,107,2.0,73.0,clear,1012.98,12,Summer,5.5,coastal,Sunny
8863,30.0,107,6.0,75.0,partly cloudy,1016.39,6,Winter,0.5,inland,Cloudy
11622,35.0,107,3.0,74.0,partly cloudy,1018.52,7,Summer,5.5,inland,Cloudy
4032,54.0,107,10.0,95.0,overcast,1014.99,8,Spring,3.5,mountain,Cloudy
5491,25.0,107,9.5,92.0,overcast,1008.47,11,Summer,4.5,mountain,Rainy
3999,54.0,107,26.0,88.0,partly cloudy,991.72,4,Spring,3.0,mountain,Rainy
6231,26.0,107,8.0,89.0,partly cloudy,1007.39,14,Autumn,7.0,coastal,Cloudy
8353,107.0,107,15.0,83.0,partly cloudy,1015.0,11,Summer,7.0,mountain,Sunny
8464,32.0,107,28.0,92.0,partly cloudy,991.66,8,Autumn,1.5,coastal,Rainy
785,27.0,107,30.5,70.0,overcast,1003.72,11,Summer,2.0,mountain,Rainy
11202,55.0,107,1.0,93.0,overcast,1017.32,9,Autumn,5.5,coastal,Cloudy
12583,36.0,107,15.5,101.0,overcast,1008.87,3,Spring,3.0,inland,Cloudy
2687,34.0,106,4.0,90.0,partly cloudy,1024.24,9,Spring,11.0,mountain,Sunny
12410,77.0,106,33.0,95.0,overcast,992.06,9,Winter,2.5,coastal,Rainy
5637,30.0,106,22.5,109.0,overcast,998.32,13,Spring,2.0,inland,Rainy
10843,35.0,106,27.0,86.0,overcast,1010.57,11,Winter,2.5,mountain,Cloudy
8059,-24.0,106,31.5,71.0,overcast,987.01,6,Winter,1.0,inland,Snowy
479,31.0,106,30.0,76.0,overcast,1001.99,0,Summer,8.0,coastal,Cloudy
3290,38.0,106,1.0,81.0,clear,1012.66,9,Autumn,8.5,coastal,Sunny
636,-2.0,106,24.0,73.0,partly cloudy,981.5,13,Winter,1.5,inland,Snowy
10091,16.0,106,27.5,95.0,overcast,997.63,11,Spring,3.0,mountain,Rainy
12979,3.0,106,45.0,94.0,partly cloudy,993.69,3,Winter,0.5,inland,Snowy
883,47.0,106,5.5,104.0,clear,1027.75,12,Autumn,4.0,coastal,Sunny
5831,7.0,106,27.0,70.0,overcast,999.73,10,Winter,1.0,mountain,Snowy
5303,46.0,106,1.5,95.0,partly cloudy,1028.62,5,Summer,6.5,coastal,Sunny
9327,-3.0,106,42.0,74.0,overcast,994.83,9,Winter,1.0,inland,Snowy
2553,3.0,106,9.0,73.0,overcast,985.34,8,Winter,0.5,inland,Snowy
4069,-10.0,106,34.0,100.0,overcast,994.07,1,Winter,2.0,mountain,Snowy
3115,55.0,106,4.5,82.0,partly cloudy,1004.59,6,Autumn,11.5,inland,Cloudy
3255,46.0,106,20.0,75.0,clear,1012.23,8,Autumn,10.0,coastal,Sunny
442,59.0,106,8.5,109.0,clear,1023.39,13,Winter,9.0,mountain,Sunny
5977,48.0,106,14.0,105.0,overcast,990.05,8,Winter,1.5,inland,Rainy
4323,60.0,106,21.5,101.0,partly cloudy,1012.16,10,Autumn,4.0,mountain,Rainy
4029,9.0,106,5.0,107.0,overcast,1007.51,6,Autumn,3.5,inland,Cloudy
8315,56.0,106,18.5,91.0,clear,1021.73,1,Winter,3.5,coastal,Sunny
9709,42.0,106,22.0,70.0,overcast,1003.34,4,Winter,2.0,inland,Cloudy
3154,14.0,106,12.5,89.0,clear,1027.13,5,Summer,7.5,coastal,Sunny
7579,21.0,106,6.5,72.0,clear,1019.78,0,Summer,6.0,inland,Sunny
12694,26.0,106,15.5,100.0,partly cloudy,1012.47,14,Winter,4.5,mountain,Cloudy
11293,13.0,106,1.5,108.0,partly cloudy,1016.67,2,Summer,4.0,mountain,Cloudy
881,91.0,106,2.5,92.0,partly cloudy,1022.18,6,Winter,5.0,mountain,Sunny
1280,-5.0,106,32.5,102.0,overcast,987.89,2,Winter,0.5,inland,Snowy
12269,49.0,106,21.0,85.0,overcast,1015.18,2,Spring,0.5,coastal,Rainy
12446,20.0,106,44.0,91.0,overcast,991.05,9,Autumn,3.0,mountain,Rainy
2757,8.0,106,0.5,104.0,partly cloudy,1011.53,1,Spring,1.0,mountain,Cloudy
6705,30.0,106,7.0,102.0,clear,1012.3,10,Spring,8.0,inland,Sunny
9194,-7.0,106,15.0,76.0,overcast,998.14,11,Winter,0.5,mountain,Snowy
8576,19.0,106,28.0,90.0,overcast,995.04,6,Spring,2.5,mountain,Rainy
9827,84.0,106,41.5,97.0,overcast,1013.96,13,Summer,3.0,inland,Rainy
2359,71.0,106,9.5,83.0,clear,1013.56,11,Summer,12.0,coastal,Sunny
3971,75.0,106,31.5,79.0,overcast,1019.96,2,Spring,1.0,coastal,Rainy
5562,22.0,106,15.0,108.0,overcast,1016.6,4,Summer,6.0,mountain,Rainy
13185,37.0,106,23.5,104.0,partly cloudy,998.71,14,Summer,3.0,coastal,Rainy
6336,22.0,106,11.0,91.0,partly cloudy,1005.53,9,Summer,2.5,inland,Rainy
5893,67.0,106,24.0,89.0,partly cloudy,991.2,14,Autumn,2.0,coastal,Rainy
10781,59.0,106,29.5,94.0,partly cloudy,1013.03,14,Summer,10.0,inland,Cloudy
366,54.0,106,26.0,83.0,overcast,992.65,1,Winter,0.5,inland,Rainy
13113,42.0,106,32.5,103.0,partly cloudy,996.45,14,Spring,1.0,mountain,Rainy
2756,70.0,106,14.0,87.0,overcast,1019.68,10,Summer,2.0,inland,Rainy
313,-6.0,106,33.0,82.0,overcast,995.73,1,Winter,1.5,mountain,Snowy
9494,50.0,106,13.5,84.0,clear,1014.2,8,Autumn,2.5,mountain,Sunny
7140,4.0,106,21.0,85.0,partly cloudy,984.87,0,Winter,4.5,inland,Snowy
8421,65.0,106,20.5,103.0,overcast,1015.95,14,Spring,3.0,coastal,Cloudy
1345,5.0,106,20.0,82.0,overcast,981.79,8,Winter,0.5,inland,Snowy
2469,15.0,106,7.0,80.0,partly cloudy,1009.09,10,Summer,4.0,inland,Cloudy
8371,35.0,106,23.5,88.0,clear,1027.31,3,Summer,3.5,coastal,Sunny
4701,44.0,106,22.0,77.0,partly cloudy,1012.6,7,Summer,8.5,coastal,Cloudy
11869,-18.0,106,2.5,79.0,overcast,991.23,3,Winter,3.0,inland,Snowy
12283,-4.0,106,10.5,75.0,overcast,999.72,12,Winter,3.0,mountain,Snowy
7283,55.0,105,30.5,96.0,overcast,997.39,10,Spring,3.5,inland,Rainy
7947,9.0,105,19.0,85.0,overcast,1013.12,3,Spring,2.5,coastal,Cloudy
9834,-8.0,105,9.0,96.0,overcast,989.9,0,Winter,2.0,mountain,Snowy
12096,42.0,105,26.5,108.0,overcast,1009.61,11,Winter,5.0,inland,Rainy
2064,44.0,105,15.5,92.0,clear,1027.02,6,Spring,11.5,inland,Sunny
2640,31.0,105,32.5,82.0,overcast,1018.61,11,Autumn,1.0,coastal,Rainy
11401,49.0,105,16.0,93.0,partly cloudy,1003.57,6,Winter,10.0,inland,Cloudy
12868,25.0,105,18.0,96.0,overcast,1010.23,7,Autumn,5.0,coastal,Cloudy
10011,50.0,105,22.5,73.0,partly cloudy,1004.15,11,Spring,2.5,mountain,Rainy
7164,-5.0,105,32.0,99.0,overcast,988.94,12,Winter,0.5,inland,Snowy
4609,-25.0,105,29.0,106.0,overcast,980.86,1,Winter,2.5,mountain,Snowy
1116,47.0,105,19.0,76.0,clear,1021.14,0,Autumn,9.5,mountain,Sunny
12951,36.0,105,12.5,107.0,overcast,1019.08,12,Summer,9.0,mountain,Cloudy
10821,25.0,105,26.5,107.0,partly cloudy,1012.27,7,Summer,3.5,mountain,Cloudy
11186,-3.0,105,28.5,100.0,overcast,997.92,7,Winter,0.0,inland,Snowy
6448,73.0,105,12.0,94.0,clear,1022.52,11,Winter,1.5,coastal,Sunny
12579,-14.0,105,30.5,74.0,overcast,981.24,2,Winter,1.5,mountain,Snowy
292,2.0,105,10.5,109.0,overcast,990.79,0,Winter,3.0,mountain,Snowy
11830,33.0,105,3.5,81.0,partly cloudy,1011.19,2,Autumn,1.5,coastal,Sunny
3791,1.0,105,25.0,78.0,partly cloudy,991.37,2,Winter,0.5,mountain,Snowy
155,15.0,105,7.5,75.0,overcast,1006.45,10,Summer,4.0,inland,Cloudy
2922,9.0,105,24.5,77.0,overcast,1008.2,14,Summer,7.0,mountain,Cloudy
5354,36.0,105,1.0,83.0,overcast,1014.89,1,Spring,11.0,inland,Cloudy
8620,29.0,105,44.0,105.0,overcast,1016.31,9,Autumn,1.5,inland,Rainy
6469,26.0,105,13.0,96.0,clear,1014.18,10,Summer,6.0,mountain,Sunny
10475,27.0,105,12.0,103.0,clear,1028.21,3,Winter,7.0,coastal,Sunny
3083,29.0,105,16.5,71.0,partly cloudy,1005.0,9,Summer,0.5,coastal,Rainy
5820,2.0,105,24.0,106.0,partly cloudy,989.65,6,Winter,1.0,inland,Snowy
7806,26.0,105,35.0,85.0,overcast,1003.65,7,Summer,4.0,inland,Rainy
9343,62.0,105,14.5,84.0,overcast,991.01,1,Autumn,3.5,coastal,Rainy
8472,-10.0,105,29.5,79.0,partly cloudy,991.14,12,Winter,1.5,mountain,Snowy
37,2.0,105,19.0,109.0,overcast,991.68,7,Winter,3.5,mountain,Snowy
3131,45.0,105,12.5,74.0,overcast,1000.3,8,Autumn,6.5,mountain,Cloudy
927,44.0,105,3.0,86.0,clear,1015.64,9,Winter,7.5,mountain,Sunny
7778,10.0,105,20.0,74.0,clear,1013.23,5,Winter,2.0,mountain,Sunny
12463,29.0,105,5.0,101.0,clear,1011.92,0,Autumn,10.5,coastal,Sunny
2525,18.0,105,10.5,97.0,partly cloudy,1003.85,4,Summer,4.0,mountain,Cloudy
7540,25.0,105,15.5,81.0,overcast,1010.63,12,Summer,3.0,inland,Cloudy
11652,33.0,105,0.5,87.0,clear,1010.88,4,Autumn,3.0,coastal,Sunny
11432,6.0,105,7.0,108.0,partly cloudy,986.67,1,Winter,5.0,mountain,Snowy
11433,67.0,105,17.5,80.0,partly cloudy,1013.99,0,Summer,3.5,coastal,Cloudy
9345,48.0,105,15.5,81.0,overcast,1018.38,6,Winter,5.0,inland,Cloudy
2861,36.0,105,14.5,80.0,partly cloudy,1008.34,4,Spring,7.5,inland,Cloudy
13050,-15.0,105,3.0,103.0,overcast,993.75,8,Winter,2.5,inland,Snowy
8677,6.0,105,26.0,88.0,overcast,993.88,5,Winter,4.5,inland,Snowy
10659,56.0,105,26.5,102.0,partly cloudy,1005.92,6,Spring,7.0,inland,Cloudy
6998,39.0,105,10.5,92.0,partly cloudy,1022.39,8,Summer,5.0,inland,Sunny
4272,55.0,105,14.0,81.0,overcast,1014.39,10,Spring,0.5,inland,Cloudy
2505,24.0,105,5.5,87.0,partly cloudy,1008.54,12,Winter,1.0,coastal,Cloudy
5061,5.0,105,12.5,88.0,overcast,980.92,1,Winter,3.5,mountain,Snowy
6831,37.0,104,2.0,77.0,partly cloudy,1012.59,11,Summer,10.5,inland,Sunny
5982,78.0,104,23.5,101.0,partly cloudy,996.11,5,Autumn,1.5,inland,Rainy
6826,0.0,104,10.5,94.0,overcast,999.07,0,Winter,1.5,inland,Snowy
6764,47.0,104,11.0,96.0,partly cloudy,1006.42,0,Autumn,9.0,mountain,Cloudy
5864,10.0,104,18.0,74.0,partly cloudy,1013.41,13,Summer,2.5,inland,Cloudy
12026,15.0,104,17.0,91.0,partly cloudy,1007.49,4,Winter,8.0,coastal,Cloudy
5048,29.0,104,16.0,95.0,partly cloudy,1008.7,8,Summer,7.5,inland,Cloudy
3866,60.0,104,24.5,78.0,overcast,996.49,9,Winter,1.5,inland,Rainy
11167,49.0,104,12.0,96.0,overcast,991.21,5,Autumn,4.5,mountain,Rainy
8869,64.0,104,3.0,103.0,clear,1024.08,4,Spring,3.5,coastal,Sunny
7670,76.0,104,2.5,90.0,clear,1011.37,5,Winter,11.0,coastal,Sunny
933,61.0,104,7.5,85.0,overcast,1005.83,11,Autumn,5.0,coastal,Cloudy
10141,20.0,104,5.0,77.0,partly cloudy,1029.45,8,Spring,14.0,coastal,Sunny
10073,36.0,104,26.5,87.0,overcast,1004.17,1,Autumn,2.0,coastal,Rainy
11429,40.0,104,14.0,92.0,overcast,1019.13,0,Summer,10.5,coastal,Cloudy
3401,21.0,104,26.0,95.0,partly cloudy,1008.13,13,Winter,8.5,inland,Cloudy
2548,22.0,104,13.0,80.0,partly cloudy,991.94,3,Winter,3.0,inland,Rainy
3643,5.0,104,12.0,95.0,partly cloudy,1002.57,9,Autumn,1.0,mountain,Cloudy
3177,-17.0,104,10.0,87.0,overcast,984.98,4,Winter,1.0,inland,Snowy
3353,75.0,104,5.5,87.0,clear,1011.7,6,Summer,13.0,coastal,Sunny
7775,41.0,104,5.5,85.0,partly cloudy,1023.8,13,Summer,4.5,coastal,Sunny
7923,24.0,104,25.5,79.0,partly cloudy,1005.93,2,Autumn,3.0,coastal,Rainy
6241,2.0,104,27.5,96.0,overcast,994.55,2,Winter,1.0,mountain,Snowy
12231,-11.0,104,20.0,107.0,overcast,990.16,8,Winter,0.5,mountain,Snowy
11502,2.0,104,2.0,98.0,partly cloudy,985.89,11,Winter,1.0,mountain,Snowy
12179,-3.0,104,10.5,92.0,overcast,988.83,14,Winter,2.0,mountain,Snowy
6422,53.0,104,11.0,89.0,overcast,1005.24,14,Winter,9.5,coastal,Cloudy
5382,98.0,104,19.0,108.0,clear,1016.45,3,Summer,7.0,coastal,Sunny
1377,27.0,104,21.5,100.0,overcast,994.34,6,Autumn,3.5,inland,Rainy
8708,28.0,104,13.0,101.0,partly cloudy,1025.41,14,Autumn,9.5,inland,Sunny
8303,32.0,104,14.0,94.0,overcast,1018.38,9,Summer,3.0,mountain,Rainy
11266,22.0,104,6.0,100.0,clear,1010.24,0,Winter,3.0,mountain,Sunny
10931,10.0,104,31.5,75.0,partly cloudy,1016.56,0,Autumn,7.0,inland,Cloudy
696,28.0,104,21.0,109.0,partly cloudy,1008.63,0,Spring,3.0,coastal,Rainy
906,32.0,104,27.0,107.0,partly cloudy,1015.36,3,Winter,11.5,mountain,Cloudy
8904,48.0,104,6.5,108.0,partly cloudy,1004.12,0,Winter,9.5,mountain,Cloudy
11845,37.0,104,29.0,82.0,overcast,991.94,2,Summer,6.5,mountain,Rainy
5197,25.0,104,8.0,98.0,overcast,1007.38,13,Winter,6.0,inland,Rainy
8749,3.0,104,44.5,91.0,overcast,991.33,4,Winter,1.5,inland,Snowy
493,5.0,104,12.5,79.0,overcast,996.81,0,Winter,5.0,mountain,Snowy
12933,22.0,104,43.5,91.0,overcast,997.16,2,Spring,1.0,inland,Rainy
5242,14.0,104,24.0,95.0,partly cloudy,1019.35,3,Autumn,0.5,inland,Rainy
7262,36.0,104,18.0,73.0,clear,1012.73,9,Summer,7.0,inland,Sunny
10506,29.0,104,10.5,85.0,partly cloudy,1029.18,1,Winter,3.5,inland,Sunny
8137,-2.0,104,19.0,108.0,overcast,994.16,13,Winter,6.0,inland,Snowy
5529,2.0,104,8.0,72.0,partly cloudy,986.33,14,Winter,2.0,inland,Snowy
8714,27.0,104,25.5,104.0,partly cloudy,1018.51,5,Autumn,4.0,inland,Cloudy
10022,58.0,104,9.0,100.0,clear,1022.24,7,Winter,5.5,inland,Sunny
489,23.0,104,3.5,76.0,partly cloudy,1028.36,8,Summer,4.0,coastal,Sunny
10298,-1.0,104,27.0,75.0,partly cloudy,989.78,1,Winter,1.5,mountain,Snowy
8879,-18.0,103,25.0,81.0,partly cloudy,982.45,9,Winter,1.5,mountain,Snowy
7486,71.0,103,3.0,87.0,partly cloudy,1011.85,0,Winter,6.0,coastal,Cloudy
11722,-3.0,103,10.0,102.0,partly cloudy,981.12,13,Winter,2.0,inland,Snowy
8272,48.0,103,10.5,88.0,partly cloudy,1022.99,1,Autumn,1.5,mountain,Sunny
515,16.0,103,17.5,95.0,overcast,1004.72,12,Autumn,1.5,coastal,Cloudy
